Id,ParentId,Type,Name,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,IconFilePath,GlbFilePath,WrlFilePath
7acd5132-0f8b-4ae7-826e-a0d06bbe5192,00000000-0000-0000-0000-000000000001,Any,7acd5132,2099.871424,1865.980651,1721.538605,0.12,0.32,-0.88,0.33,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
68317706-95b6-4835-baab-0fa0e9ea2a59,7acd5132-0f8b-4ae7-826e-a0d06bbe5192,Any,68317706,-950.840902,1632.820883,-1236.880684,0.55,-0.14,0.41,-0.71,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
a954ddae-d15a-4643-a536-efe9e567d96d,68317706-95b6-4835-baab-0fa0e9ea2a59,Any,a954ddae,1378.654948,-8.542437892,-2251.923631,-0.22,0.91,0.3,0.18,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
9820a076-f72c-4c0b-8a1a-818e29f1ed04,a954ddae-d15a-4643-a536-efe9e567d96d,Any,9820a076,2455.072545,-544.4889829,1286.816766,0.77,0.44,-0.17,0.42,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
ac980da0-6793-44f4-ae95-8723ab7582b2,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,ac980da0,610.7688642,810.4147488,-308.5674574,-0.03,-0.62,0.77,0.12,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
4283051e-a243-489e-a3b4-6ec7489be16d,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,4283051e,-711.7180434,822.7721863,2129.896799,0.48,0.5,0.16,0.7,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
e4f5cd0c-329d-4636-be81-f17640194773,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,e4f5cd0c,1698.045946,1706.650488,1066.397342,-0.11,0.03,-0.99,0.07,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
fea4b389-df27-42bf-95ec-521ed62e191c,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,fea4b389,-218.6467604,-1509.17151,1362.037812,0.33,-0.78,0.52,0.11,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
b1e55947-4bcb-4a30-907f-207b3e9fb52e,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,b1e55947,-875.4787421,1253.455676,2449.970582,0.66,0.14,0.63,-0.37,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
6fbe0d03-b991-4df4-9423-a088e081ff50,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,6fbe0d03,-2167.73965,235.8139297,-736.7713917,-0.41,0.82,-0.09,0.37,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
